物品名称,文件类型,稀有度,等级,价格,物理攻击,魔法攻击,装备类型,武器类型,可用职业,技能增强,基础说明,文件路径
黑色庇佑之形,equipment,0,1,0,100,100,aurora avatar,,all,否,最终伤害 +7%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590025.equ
次元隔离之形,equipment,0,1,0,100,100,aurora avatar,,all,否,最终伤害 +7%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590026.equ
伤害爆炸强无敌,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590031.equ
萌粉雪花,equipment,0,1,0,20,20,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590032.equ
晴蓝雪花,equipment,0,1,0,20,20,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590033.equ
酷黑雪花,equipment,0,1,0,20,20,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590034.equ
使徒之命运,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590036.equ
使徒之权能,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590037.equ
怀旧老唱片,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590041.equ
北国之雷电,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590042.equ
北国之雪暴,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590043.equ
奥丁的启示,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590044.equ
万剑归宗光环,equipment,0,1,0,130,130,aurora avatar,,all,否,最终伤害 +12%% |   |     穿戴后， 若要穿戴其他光环， 脱掉后需要小退一下才可以正常显示其他光环外观。,DNF文件知识库\参考资料\标准格式样板\武器\1\401590058.equ
智慧闪耀之光,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590062.equ
星愿天蝎 (心悦 3),equipment,0,1,0,100,100,aurora avatar,,all,否,最终伤害 +7%%,DNF文件知识库\参考资料\标准格式样板\武器\1\401590065.equ
夜海海豚,equipment,0,1,0,150,150,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590068.equ
无我之轮回光环,equipment,0,1,0,130,130,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590069.equ
安徒恩的威严,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590070.equ
卢克的祈盼,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590071.equ
伊希斯的愤怒,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590072.equ
希洛克的幻影,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590073.equ
使徒的祝福,equipment,0,1,0,60,60,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590074.equ
使徒的祝福[卢克],equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590075.equ
使徒的祝福[伊希斯],equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590076.equ
使徒的祝福[希洛克],equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590077.equ
玲珑聚光灯光环,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590083.equ
灿烂的聚光灯光环,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590084.equ
华丽的聚光灯光环,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590085.equ
顺心招财猫,equipment,0,1,0,100,100,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590086.equ
怨恨的记忆,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590106.equ
席卷的暴风光环,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590112.equ
呼啸的暴风光环,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\401590113.equ
超级冰霜钻孔车,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\406590000.equ
镜花水月,equipment,0,1,0,150,150,aurora avatar,,all,否,最终伤害 +12%% | 技能攻击力 +10%%,DNF文件知识库\参考资料\标准格式样板\武器\1\412590201.equ
抉择之义光环,equipment,0,1,0,100,100,aurora avatar,,all,否,所有职业Lv1 ~ 70 技能 Lv +1 （特性技能除外）,DNF文件知识库\参考资料\标准格式样板\武器\1\413590006.equ
普雷·伊希斯的绝望光环,equipment,0,1,0,100,100,aurora avatar,,all,否,所有职业Lv1 ~ 70 技能 Lv +1 （特性技能除外）,DNF文件知识库\参考资料\标准格式样板\武器\1\413590007.equ
普雷·伊希斯的希望光环,equipment,0,1,0,100,100,aurora avatar,,all,否,所有职业Lv1 ~ 70 技能 Lv +1 （特性技能除外）,DNF文件知识库\参考资料\标准格式样板\武器\1\413590008.equ
幽暗恐惧之相框,equipment,0,1,0,150,150,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\415554154.equ
大魔法师的星象仪,equipment,0,1,0,150,150,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\415554155.equ
勇气圣歌,equipment,0,1,0,150,150,aurora avatar,,all,否,最终伤害 +12%% | 技能攻击力 +10%%,DNF文件知识库\参考资料\标准格式样板\武器\1\415590000.equ
逆转之轮 · 米莉娅限定光环,equipment,0,1,0,150,150,aurora avatar,,all,否,最终伤害 +12%% | 技能攻击力 +10%% |   |     穿戴后， 若要穿戴其他光环， 脱掉后需要小退一下才可以正常显示其他光环外观。,DNF文件知识库\参考资料\标准格式样板\武器\1\415590004.equ
枪炮之绮华,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\415590021.equ
,equipment,0,0,0,0,0,,,,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\axionfootprint.equ
严师高徒光环,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590027.equ
魔界大战终结者,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%% (在魔界大战副本中， 额外增加3%%最终伤害),DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590035.equ
紫炎之轮,equipment,0,1,0,150,150,aurora avatar,,all,否,最终伤害 +12%% | 技能攻击力 +10%% | Lv1 ~ Lv70级技能 +1,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590089.equ
凯德拉赫的视线 (伤害),equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590090.equ
凯德拉赫的视线 (暴伤),equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590091.equ
凯德拉赫的视线 (攻击),equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590092.equ
凯德拉赫的视线,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590093.equ
艾尼克斯的转生,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590094.equ
艾尼克斯的转生 (暴伤),equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590095.equ
艾尼克斯的转生 (攻击),equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590096.equ
艾尼克斯的转生 (Buff),equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590097.equ
仗剑万里行,equipment,0,1,0,100,100,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590101.equ
皓日光辉,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590103.equ
明月光辉,equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590104.equ
日月蚀影,equipment,0,1,0,100,100,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590105.equ
黑色大地的审判者,equipment,0,1,0,130,130,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590108.equ
无形 : 奔流之势,equipment,0,1,0,150,150,aurora avatar,,all,否,最终伤害 +12%% | 技能攻击力 +10%%,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590114.equ
Hello语音光环,equipment,0,1,0,100,100,aurora avatar,,all,否,最终伤害 +7%%,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590124.equ
古韵油纸伞,equipment,0,1,0,15,15,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590192.equ
次元幻迹,equipment,0,1,0,15,15,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_401590193.equ
燃武之心光环,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_pvp_avatar_swordman_aura_101590044.equ
燃武之心光环,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_pvp_avatar_swordman_aura_101590045.equ
燃武之心光环,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_pvp_avatar_swordman_aura_101590046.equ
骑士精神之英勇,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590051.equ
骑士精神之公正,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590052.equ
骑士精神之忠诚,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590053.equ
普罗迦的亵渎之翼,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590055.equ
卡修斯的暗黑之翼,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590056.equ
腾龙光环 (心悦 3),equipment,0,1,0,100,100,aurora avatar,,all,否,最终伤害 +7%%,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590059.equ
时间支配者 - 寂静,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590060.equ
时间支配者 - 思考,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590061.equ
神秘魔盒光环,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590067.equ
冷峻的海军指挥,equipment,0,1,0,20,20,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590068.equ
愤怒的海军指挥,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590069.equ
金辉璀璨左轮,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590075.equ
银光灿烂左轮,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590076.equ
星空射手 (心悦 3),equipment,0,1,0,100,100,aurora avatar,,all,否,最终伤害 +7%%,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590081.equ
高级炉岩碳之赐,equipment,0,1,0,0,0,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590084.equ
战神之庇佑,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590093.equ
死神之威赫,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590094.equ
舞厅镜面球光环装扮,equipment,0,1,0,25,25,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590096.equ
光之仙灵祝福,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590098.equ
暗之仙灵祝福,equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590099.equ
初音未来的浪漫相伴,equipment,0,1,0,60,60,aurora avatar,,all,否,最终伤害 +3%%,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590100.equ
妖精的加护 [彩虹剑],equipment,0,1,0,40,40,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_equ_special_avatar_swordman_aura_101590107.equ
,equipment,0,0,0,0,0,,,,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\chn_part_set_30102_pvp1st.equ
梦魇缚灵长袍,equipment,2,45,32900,0,23,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_felon_incubi.equ
(古老) 天蝉护魂长袍,equipment,3,35,36900,0,22,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_heavens.equ
羽灵长袍,equipment,2,40,29400,0,21,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_manaholicker.equ
纱绒衬衫,equipment,0,6,3000,0,8,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_mariacloth.equ
青龙渡海上衣,equipment,2,40,29400,0,21,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_raretaslan.equ
紫羽定魂长袍,equipment,2,40,29400,0,21,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_soulreturner.equ
锦鳞上衣,equipment,2,45,32900,0,23,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_tetra_attire.equ
(古老) 贤者的训练上衣,equipment,2,36,26600,0,19,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_tsage.equ
引魔长袍,equipment,2,30,22400,0,16,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_upperwizardry.equ
伽毕斯的皓月上衣,equipment,2,20,15400,0,12,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_vitalgabis.equ
梵风衣,equipment,3,15,15300,0,11,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_windy.equ
神官吉格的祭祀上衣,equipment,2,50,37800,0,26,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\coat_zeig_garb.equ
(古老) 紫炎隐月长袍,equipment,3,25,27900,0,17,coat,,all,否,被攻击时， 有10%%的几率附加50点火属性伤害。,DNF文件知识库\参考资料\标准格式样板\武器\1\dress_eflame.equ
魔力精灵的意志,equipment,2,1,0,0,27,title name,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\empirehero_blue_cn.equ
生命之神的荣耀,equipment,2,1,0,27,0,title name,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\empirehero_red_cn.equ
冒险者上衣,equipment,0,4,2400,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\garb_adventure.equ
韩服15周年光环 (限定),equipment,0,1,0,50,50,aurora avatar,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\hanfu15.equ
天蝉护魂长袍,equipment,3,50,50400,0,29,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_coat_heavens.equ
贤者的训练上衣,equipment,2,30,22400,0,16,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_coat_tsage.equ
紫炎隐月长袍,equipment,3,30,30600,0,19,coat,,all,否,被攻击时， 有10%%的几率附加50点火属性伤害。,DNF文件知识库\参考资料\标准格式样板\武器\1\n_dress_eflame.equ
精灵祝福长袍,equipment,2,35,25900,0,18,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_robe_bfairy.equ
炎麻长袍,equipment,2,20,15400,0,12,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_robe_cfiber.equ
雕翎长袍,equipment,3,20,21600,0,14,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_robe_graphite.equ
赫顿玛尔贵族长袍,equipment,2,25,18900,0,14,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_robe_nhendon.equ
薄纱长袍,equipment,1,50,31200,0,24,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_robe_skyarn.equ
破旧的薄纱长袍,equipment,0,50,20800,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_robe_uskyarn.equ
破旧的羊绒长袍,equipment,0,30,12000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_robe_uwool.equ
羊绒长袍,equipment,1,30,18000,0,14,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_robe_wool.equ
古老的天鹅绒衬衫,equipment,0,55,22800,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_sht_oldvelvet.equ
破旧的绢丝衬衫,equipment,0,35,14000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_sht_sbskyarn.equ
绢丝衬衫,equipment,1,35,21000,0,16,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_sht_skyarn.equ
天鹅绒衬衫,equipment,1,55,34200,0,26,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_sht_velvet.equ
冰凌长袍,equipment,2,30,22400,0,16,coat,,all,否,被攻击时， 有5%%的几率使敌人进入冰冻状态。,DNF文件知识库\参考资料\标准格式样板\武器\1\n_tunic_iseal.equ
破旧的绫罗衬衫,equipment,0,45,18000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_tunic_oskyarn.equ
旧式丝绸背心,equipment,0,25,10000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_tunic_owool.equ
绫罗衬衫,equipment,1,45,27000,0,21,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_tunic_skyarn.equ
丝绸背心,equipment,1,25,15000,0,12,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_tunic_wool.equ
幻影落凰长袍,equipment,3,40,39600,0,23,coat,,all,是,被攻击时， 有10%%的几率使敌人进入混乱状态。,DNF文件知识库\参考资料\标准格式样板\武器\1\n_tuxedo_phantom.equ
古老的丝绒背心,equipment,0,40,16000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_vest_oskyarn.equ
古老的羊毛背心,equipment,0,20,8000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_vest_owool.equ
