ANI指向值,,ATK指向值,
30,`Animation/FlashCutDown.ani`,30,`AttackInfo/DoublePierce3.atk`
31,`Animation/SideStep.ani`,31,`AttackInfo/Hurricane.atk`
32,`Animation/InazmaKickTry.ani`,32,`AttackInfo/HurricaneLB.atk`
33,`Animation/InazmaKickKick.ani`,33,`AttackInfo/VerticalSpiralSpinUp.atk`
34,`Animation/InazmaKickGrab.ani`,34,`AttackInfo/VerticalSpiralSpinDown.atk`
35,`Animation/InazmaKickMove.ani`,35,`AttackInfo/VerticalSpiralCrash.atk`
36,`Animation/InazmaKickSlash1.ani`,36,`AttackInfo/SonicAssaultTry.atk`
37,`Animation/InazmaKickSlash2.ani`,37,`AttackInfo/SonicAssault1.atk`
38,`Animation/InazmaKickLand.ani`,38,`AttackInfo/SonicAssault2.atk`
39,`Animation/InazmaKickBack.ani`,39,`AttackInfo/SonicAssaultFinish.atk`
40,`Animation/ExcelStrikeStart.ani`,40,`AttackInfo/PhantomStromStart.atk`
41,`Animation/DarkSoul.ani`,41,`AttackInfo/PhantomStromFinish.atk`
42,`Animation/Shuriken.ani`,42,`AttackInfo/VerticalSpiralExSpin.atk`
43,`Animation/ShurikenJump.ani`,43,`AttackInfo/ChainSawExFinish.atk`
44,`Animation/SkinTakeOff.ani`,,[/etc attack info]
45,`Animation/AnkleCut.ani`,,
46,`Animation/DoublePierce1.ani`,,
47,`Animation/DoublePierce2.ani`,,
48,`Animation/DoublePierce3.ani`,,
49,`Animation/CurseSpear1.ani`,,
50,`Animation/CurseSpear2.ani`,,
51,`Animation/HurricaneStart.ani`,,
52,`Animation/HurricaneLoop.ani`,,
53,`Animation/HurricaneEnd.ani`,,
54,`Animation/VerticalSpiralSit.ani`,,
55,`Animation/VerticalSpiralSpin.ani`,,
56,`Animation/VerticalSpiralCrash1.ani`,,
57,`Animation/VerticalSpiralCrash2.ani`,,
58,`Animation/SonicAssaultTry.ani`,,
59,`Animation/SonicAssaultRapid1.ani`,,
60,`Animation/SonicAssaultRapid2.ani`,,
61,`Animation/SonicAssaultRapid3.ani`,,
62,`Animation/SonicAssaultRapid4.ani`,,
63,`Animation/SonicAssaultRapid5.ani`,,
64,`Animation/SonicAssaultRapid6.ani`,,
65,`Animation/SonicAssaultLastRapid.ani`,,
66,`Animation/SonicAssaultFinish.ani`,,
67,`Animation/SonicAssaultIllusion.ani`,,
68,`Animation/DarkLureApply.ani`,,
69,`Animation/DarkNail.ani`,,
70,`Animation/DarkSoulChargeCast.ani`,,
71,`Animation/DarkSoulChargeLaunch.ani`,,
72,`Animation/ballacrecast.ani`,,
73,`Animation/ballacre_pierce.ani`,,
74,`Animation/ballacre_swingRL.ani`,,
75,`Animation/ballacre_swingLR.ani`,,
76,`Animation/ballacre_swing_down.ani`,,
77,`Animation/ballacre_swing_hand.ani`,,
78,`Animation/ballacre_hand_pierce.ani`,,
79,`Animation/ballacre_dash_upper.ani`,,
80,`Animation/ballacre_hand_appear.ani`,,
81,`Animation/ExcelStrikeDash.ani`,,
82,`Animation/ExcelStrikeHit1.ani`,,
83,`Animation/ExcelStrikeHit2.ani`,,
84,`Animation/ExcelStrikeHit3.ani`,,
85,`Animation/ExcelStrikeHitLB.ani`,,
86,`Animation/ExcelStrikeHitNoDownOnly.ani`,,
87,`Animation/ExcelStrikeEnd.ani`,,
88,`Animation/BlameOfDead.ani`,,
89,`Animation/DarkRitual.ani`,,
90,`Animation/SummonNicolas.ani`,,
91,`Animation/SilverStreamStart.ani`,,
92,`Animation/SilverStreamAttack1.ani`,,
93,`Animation/SilverStreamAttack2.ani`,,
94,`Animation/SilverStreamAttack3.ani`,,
95,`Animation/SilverStreamAttack4.ani`,,
96,`Animation/SilverStreamFinishSlash.ani`,,
97,`Animation/SilverStreamFinishJump.ani`,,
98,`Animation/ballacre_hand_grab.ani`,,
99,`Animation/ballacre_guillotine_start.ani`,,
100,`Animation/ballacre_guillotine_charge.ani`,,
101,`Animation/ballacre_guillotine_finish.ani`,,
102,`Animation/ballacre_phantom_strom.ani`,,
103,``,,
104,`Animation/DarkSoulNonChargeLaunch.ani`,,
105,`Animation/SilverStreamNormalAttack1.ani`,,
106,`Animation/SilverStreamNormalAttack2.ani`,,
107,`Animation/SilverStreamNormalAttack3.ani`,,
108,`Animation/SilverStreamNormalAttack4.ani`,,
109,`Animation/SilverStreamNormalJumpAttack.ani`,,
110,`Animation/SilverStreamNormalDashAttack.ani`,,
111,`Animation/BlameOfDeadEx.ani`,,
112,`Animation/VerticalSpiralExTry.ani`,,
113,`Animation/VerticalSpiralExJump.ani`,,
114,`Animation/VerticalSpiralExSpin.ani`,,
115,`Animation/VerticalSpiralExFinishStay.ani`,,
116,`Animation/ChainSawEx1.ani`,,
117,`Animation/ChainSawEx2.ani`,,
118,`Animation/ChainSawEx3.ani`,,
119,`Animation/ChainSawEx4.ani`,,
,[/etc motion],,
